rank,repository,final_score,llm_preference_score,technical_execution_score,market_adoption_score,team_resilience_score,funding_gate_multiplier,funding_risk_level,reason_1,reason_2,reason_3,investment_brief,methodology_version,analysis_date,stars,forks,description,language,website
11,0x4m4/hexstrike-ai,,0.41000000000000003,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #11 with nan final score representing moderate investment interest. HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) a... Community validation: 2,791 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,2791,675,"HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities.",TypeScript,https://www.hexstrike.com/
12,VectifyAI/PageIndex,,0.21,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #12 with nan final score representing moderate investment interest. 📄🧠 PageIndex: Document Index for Reasoning-based RAG... Community validation: 2,464 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,2464,190,📄🧠 PageIndex: Document Index for Reasoning-based RAG,Python,https://pageindex.ai
13,Mooncake-Labs/pg_mooncake,,0.2,0,1.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #13 with nan final score representing moderate investment interest. Real-time analytics on Postgres tables... Community validation: 1,665 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,1665,46,Real-time analytics on Postgres tables,Go,https://mooncake.dev/
14,nari-labs/dia,,0.265,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #14 with nan final score representing moderate investment interest. A TTS model capable of generating ultra-realistic dialogue in one pass.... Community validation: 18,336 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,18336,1559,A TTS model capable of generating ultra-realistic dialogue in one pass.,TypeScript,https://narilabs.org/
15,twentyhq/twenty,,0.5350000000000001,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #15 with nan final score representing moderate investment interest. Building a modern alternative to Salesforce, powered by the community.... Community validation: 35,390 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,35390,4130,"Building a modern alternative to Salesforce, powered by the community.",JavaScript,https://twenty.com
16,boundaryml/baml,,0.59,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #16 with nan final score representing moderate investment interest. The AI framework that adds the engineering to prompt engineering (Python/TS/Ruby/Java/C#/Rust/Go com... Community validation: 5,778 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,5778,270,The AI framework that adds the engineering to prompt engineering (Python/TS/Ruby/Java/C#/Rust/Go compatible),Rust,https://docs.boundaryml.com
17,stagewise-io/stagewise,,0.30000000000000004,0,0.6206896551724139,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #17 with nan final score representing moderate investment interest. stagewise is the first frontend coding agent for existing production-grade web apps 🪄  -- Lives insi... Community validation: 6,138 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,6138,366,stagewise is the first frontend coding agent for existing production-grade web apps 🪄  -- Lives inside your browser 💻 -- Makes changes in local codebase 🤓 -- Compatible with all kinds of frameworks and setups 💪,Java,https://stagewise.io
18,CopilotKit/CopilotKit,,0.39,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #18 with nan final score representing moderate investment interest. React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic la... Community validation: 22,858 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,22858,3081,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁",TypeScript,https://docs.copilotkit.ai
19,superglue-ai/superglue,,0.32499999999999996,0,0.9137931034482761,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #19 with nan final score representing moderate investment interest. superglue integrates & orchestrates APIs from natural language. Agents use it to build deterministic... Community validation: 1,904 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,1904,99,"superglue integrates & orchestrates APIs from natural language. Agents use it to build deterministic workflows across apps, APIs and databases. Humans use it to generate insights, build automations and manage data.",TypeScript,https://superglue.ai
20,Operative-Sh/web-eval-agent,,0.28500000000000003,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #20 with nan final score representing moderate investment interest. An MCP server that autonomously evaluates web applications. ... Community validation: 1,181 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,1181,97,An MCP server that autonomously evaluates web applications. ,Rust,https://www.operative.sh/mcp
21,yichuan-w/LEANN,,0.28,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #21 with nan final score representing moderate investment interest. RAG on Everything with LEANN. Enjoy 97% storage savings while running a fast, accurate, and 100% pri... Community validation: 2,516 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,2516,232,"RAG on Everything with LEANN. Enjoy 97% storage savings while running a fast, accurate, and 100% private RAG application on your personal device.",Go,
22,agentscope-ai/agentscope,,0.255,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #22 with nan final score representing moderate investment interest. AgentScope: Agent-Oriented Programming for Building LLM Applications... Community validation: 11,099 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,11099,764,AgentScope: Agent-Oriented Programming for Building LLM Applications,TypeScript,https://doc.agentscope.io/
23,agent0ai/agent-zero,,0.41000000000000003,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #23 with nan final score representing moderate investment interest. Agent Zero AI framework... Community validation: 11,709 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,11709,2287,Agent Zero AI framework,Java,https://agent-zero.ai
24,dyad-sh/dyad,,0.4,0,0.7241379310344829,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #24 with nan final score representing moderate investment interest. Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!... Community validation: 14,680 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,14680,1475,"Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!",Java,https://dyad.sh
25,GraphiteEditor/Graphite,,0.265,0,0.1724137931034483,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #25 with nan final score representing moderate investment interest. An open source graphics editor for 2025: comprehensive 2D content creation tool suite for graphic de... Community validation: 21,086 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,21086,889,"An open source graphics editor for 2025: comprehensive 2D content creation tool suite for graphic design, digital art, and interactive real-time motion graphics — featuring node-based procedural editing",JavaScript,https://graphite.rs
26,livestorejs/livestore,,0.59,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #26 with nan final score representing moderate investment interest. LiveStore is a next-generation state management framework based on reactive SQLite and built-in sync... Community validation: 2,965 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,2965,88,LiveStore is a next-generation state management framework based on reactive SQLite and built-in sync engine.,Go,https://livestore.dev
27,pathwaycom/pathway,,0.3,0,1.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #27 with nan final score representing moderate investment interest. Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.... Community validation: 42,443 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,42443,1292,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",Python,https://pathway.com
28,onlook-dev/onlook,,0.37,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #28 with nan final score representing moderate investment interest. The Cursor for Designers • An Open-Source AI-First Design tool • Visually build, style, and edit you... Community validation: 22,447 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,22447,1554,"The Cursor for Designers • An Open-Source AI-First Design tool • Visually build, style, and edit your React App with AI",TypeScript,https://onlook.com
29,SuperClaude-Org/SuperClaude_Framework,,0.385,0,0.41379310344827597,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #29 with nan final score representing moderate investment interest. A configuration framework that enhances Claude Code with specialized commands, cognitive personas, a... Community validation: 15,411 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,15411,1371,"A configuration framework that enhances Claude Code with specialized commands, cognitive personas, and development methodologies.",TypeScript,https://superclaude.netlify.app/
30,MiniMax-AI/MiniMax-01,,0.185,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #30 with nan final score representing moderate investment interest. The official repo of MiniMax-Text-01 and MiniMax-VL-01, large-language-model & vision-language-model... Community validation: 3,139 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,3139,289,"The official repo of MiniMax-Text-01 and MiniMax-VL-01, large-language-model & vision-language-model based on Linear Attention",JavaScript,https://www.minimax.io/
31,windmill-labs/windmill,,0.7900000000000001,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #31 with nan final score representing moderate investment interest. Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows ... Community validation: 14,570 stars. High innovation potential detected. No institutional funding detected - prime BSV target.",1.0,2025-09-14,14570,786,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.",Go,https://windmill.dev
32,Skyvern-AI/skyvern,,0.405,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #32 with nan final score representing moderate investment interest. Automate browser-based workflows with LLMs and Computer Vision... Community validation: 14,240 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,14240,1196,Automate browser-based workflows with LLMs and Computer Vision,TypeScript,https://www.skyvern.com
33,triggerdotdev/trigger.dev,,0.39,0,0.7241379310344829,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #33 with nan final score representing moderate investment interest. Trigger.dev – build and deploy fully‑managed AI agents and workflows... Community validation: 12,252 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,12252,811,Trigger.dev – build and deploy fully‑managed AI agents and workflows,TypeScript,https://trigger.dev/changelog
34,keephq/keep,,0.63,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #34 with nan final score representing moderate investment interest. The open-source AIOps and alert management platform... Community validation: 10,658 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,10658,1053,The open-source AIOps and alert management platform,Python,https://keephq.dev
35,explodinggradients/ragas,,0.38,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #35 with nan final score representing moderate investment interest. Supercharge Your LLM Application Evaluations 🚀... Community validation: 10,681 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,10681,1070,Supercharge Your LLM Application Evaluations 🚀,Python,https://docs.ragas.io
36,activeloopai/deeplake,,0.5,0,1.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #36 with nan final score representing moderate investment interest. Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, v... Community validation: 8,812 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,8812,677,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",TypeScript,https://activeloop.ai
37,hyperdxio/hyperdx,,0.435,0,0.41379310344827597,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #37 with nan final score representing moderate investment interest. Resolve production issues, fast. An open source observability platform unifying session replays, log... Community validation: 8,847 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,8847,307,"Resolve production issues, fast. An open source observability platform unifying session replays, logs, metrics, traces and errors powered by Clickhouse and OpenTelemetry.",JavaScript,https://hyperdx.io/
38,highlight/highlight,,0.7200000000000002,0,1.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #38 with nan final score representing moderate investment interest. highlight.io: The open source, full-stack monitoring platform. Error monitoring, session replay, log... Community validation: 8,656 stars. High innovation potential detected. No institutional funding detected - prime BSV target.",1.0,2025-09-14,8656,456,"highlight.io: The open source, full-stack monitoring platform. Error monitoring, session replay, logging, distributed tracing, and more.",Go,https://app.highlight.io
39,getlago/lago,,0.355,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #39 with nan final score representing moderate investment interest. Open Source Metering and Usage Based Billing API ⭐️ Consumption tracking, Subscription management, P... Community validation: 8,446 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,8446,441,"Open Source Metering and Usage Based Billing API ⭐️ Consumption tracking, Subscription management, Pricing iterations, Payment orchestration & Revenue analytics",TypeScript,https://www.getlago.com
40,paradedb/paradedb,,0.545,0,0.5862068965517242,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #40 with nan final score representing moderate investment interest. ParadeDB is a modern Elasticsearch alternative built on Postgres. Built for real-time, update-heavy ... Community validation: 7,730 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,7730,273,"ParadeDB is a modern Elasticsearch alternative built on Postgres. Built for real-time, update-heavy workloads.",Rust,https://paradedb.com
41,firezone/firezone,,0.655,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #41 with nan final score representing moderate investment interest. Enterprise-ready zero-trust access platform built on WireGuard®.... Community validation: 7,506 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,7506,334,Enterprise-ready zero-trust access platform built on WireGuard®.,Rust,https://www.firezone.dev
42,growthbook/growthbook,,0.6900000000000002,0,0.41379310344827597,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #42 with nan final score representing moderate investment interest. Open Source Feature Flagging and A/B Testing Platform... Community validation: 6,847 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,6847,596,Open Source Feature Flagging and A/B Testing Platform,Go,https://www.growthbook.io
43,shuttle-hq/shuttle,,0.32,0,0.7241379310344829,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #43 with nan final score representing moderate investment interest. Build & ship backends without writing any infrastructure files.... Community validation: 6,650 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,6650,277,Build & ship backends without writing any infrastructure files.,Java,https://shuttle.dev
44,evidentlyai/evidently,,0.63,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #44 with nan final score representing moderate investment interest. Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI... Community validation: 6,600 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,6600,723,"Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.",Rust,https://discord.gg/xZjKRaNp8b
45,traceloop/openllmetry,,0.4750000000000001,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #45 with nan final score representing moderate investment interest. Open-source observability for your LLM application, based on OpenTelemetry... Community validation: 6,389 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,6389,798,"Open-source observability for your LLM application, based on OpenTelemetry",Rust,https://www.traceloop.com/openllmetry
46,superagent-ai/superagent,,0.39,0,0.7241379310344829,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #46 with nan final score representing moderate investment interest. The worlds first purpose-built firewall for AI... Community validation: 6,118 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,6118,937,The worlds first purpose-built firewall for AI,Python,https://superagent.sh
47,authzed/spicedb,,0.5700000000000001,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #47 with nan final score representing moderate investment interest. Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained author... Community validation: 6,017 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,6017,341,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data",Go,https://authzed.com/docs
48,hatchet-dev/hatchet,,0.29000000000000004,0,0.5172413793103449,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #48 with nan final score representing moderate investment interest. 🪓 Run Background Tasks at Scale... Community validation: 6,019 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,6019,262,🪓 Run Background Tasks at Scale,Java,https://hatchet.run
49,NangoHQ/nango,,0.41000000000000003,0,0.3965517241379311,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #49 with nan final score representing moderate investment interest. A single API for all your integrations.... Community validation: 5,848 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,5848,543,A single API for all your integrations.,Java,https://www.nango.dev
50,lightdash/lightdash,,0.51,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #50 with nan final score representing moderate investment interest. Self-serve BI to 10x your data team ⚡️... Community validation: 5,090 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,5090,611,Self-serve BI to 10x your data team ⚡️,Go,https://lightdash.com
51,ArroyoSystems/arroyo,,0.42,0,1.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #51 with nan final score representing moderate investment interest. Distributed stream processing engine in Rust... Community validation: 4,515 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,4515,303,Distributed stream processing engine in Rust,Rust,https://arroyo.dev
52,Helicone/helicone,,0.6950000000000001,0,0.41379310344827597,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #52 with nan final score representing moderate investment interest. 🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC ... Community validation: 4,488 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,4488,433,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",Rust,https://www.helicone.ai
53,rivet-gg/rivet,,0.34,0,0.5172413793103449,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #53 with nan final score representing moderate investment interest. Scale and orchestrate RivetKit... Community validation: 4,366 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,4366,113,Scale and orchestrate RivetKit,Java,https://rivet.gg
54,defog-ai/sqlcoder,,0.235,0,0.41379310344827597,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #54 with nan final score representing moderate investment interest. SoTA LLM for converting natural language questions to SQL queries... Community validation: 3,883 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,3883,262,SoTA LLM for converting natural language questions to SQL queries,TypeScript,
55,requestly/requestly,,0.49,0,0.5517241379310347,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #55 with nan final score representing moderate investment interest. Free and open-source API Client & Interceptor.... Community validation: 3,976 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,3976,335,Free and open-source API Client & Interceptor.,Go,https://requestly.com
56,vocodedev/vocode-core,,0.485,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #56 with nan final score representing moderate investment interest. 🤖 Build voice-based LLM agents. Modular + open source.... Community validation: 3,440 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,3440,622,🤖 Build voice-based LLM agents. Modular + open source.,TypeScript,https://vocode.dev
57,fern-api/fern,,0.5099999999999999,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #57 with nan final score representing moderate investment interest. Input OpenAPI. Output SDKs and Docs.... Community validation: 3,308 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,3308,244,Input OpenAPI. Output SDKs and Docs.,Python,https://buildwithfern.com
58,OpenPipe/OpenPipe,,0.375,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #58 with nan final score representing moderate investment interest. Turn expensive prompts into cheap fine-tuned models... Community validation: 2,730 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,2730,160,Turn expensive prompts into cheap fine-tuned models,TypeScript,https://openpipe.ai
59,questdb/questdb,,0.3800000000000001,0,0.41379310344827597,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #59 with nan final score representing moderate investment interest. QuestDB is a high performance, open-source, time-series database... Community validation: 16,082 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,16082,1472,"QuestDB is a high performance, open-source, time-series database",Java,https://questdb.com
60,langfuse/langfuse,,0.7500000000000001,0,0.9137931034482761,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #60 with nan final score representing moderate investment interest. 🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playgr... Community validation: 16,053 stars. High innovation potential detected. No institutional funding detected - prime BSV target.",1.0,2025-09-14,16053,1497,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",Go,https://langfuse.com/docs
61,supertokens/supertokens-core,,0.41500000000000004,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #61 with nan final score representing moderate investment interest. Open source alternative to Auth0 / Firebase Auth / AWS Cognito ... Community validation: 14,498 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,14498,609,Open source alternative to Auth0 / Firebase Auth / AWS Cognito ,Rust,https://supertokens.com
62,Eventual-Inc/Daft,,0.6100000000000001,0,1.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #62 with nan final score representing moderate investment interest. Distributed query engine providing simple and reliable data processing for any modality and scale... Community validation: 4,337 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,4337,296,Distributed query engine providing simple and reliable data processing for any modality and scale,Go,https://daft.ai
63,bytebot-ai/bytebot,,0.33,0,0.7241379310344829,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #63 with nan final score representing moderate investment interest. Bytebot is a self-hosted AI desktop agent that automates computer tasks through natural language com... Community validation: 6,728 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,6728,733,"Bytebot is a self-hosted AI desktop agent that automates computer tasks through natural language commands, operating within a containerized Linux desktop environment.",Rust,https://www.bytebot.ai/
